School name,ISD,Enrollment,UIL championships,2032 projection,,Reminders for Tommy
Aledo,Aledo ISD,2090,"1998, 2009, 2010, 2011, 2013, 2014, 2016, 2018, 2019, 2020","A 2022 demographers report recommended a second high school could be beneficial once capacity is exceeded in 2027, with 4,741 high school students projected in 10 years.",,Note about Jesuit
Allen,Allen ISD,7102,"2008, 2012, 2013, 2014, 201",Allen said it doesn't plan to ever open another high school. Student growth is expected at a 1-2% rate over the next decade.,,Note about PVIL titles
Anna,Anna ISD,1216,None,"Anna will open at least one more high school by 2032, with another pair that haven't yet been approved. It anticipated 3,493 high school students by 2031-32.",,Note about Oak Cliff HS 1924
Argyle,Argyle ISD,1342,"2013, 2020","Three propositions passed this year as part of a bond that addresses groth, but none included an additional high school yet. Argyle expects 3,556 high school students by 2031-32.",,11-man UIL teams
Arlington,Arlington ISD,2733.5,1951,Arlington ISD intends to stick with six high schools over the next decade. It did not respond to DMN inquiries about future enrollment size.,,"FW Kirkpatrick PVIL 1963, 1962"
Arlington Bowie,Arlington ISD,2588,None,Arlington ISD intends to stick with six high schools over the next decade. It did not respond to DMN inquiries about future enrollment size.,,"FW Terrell PVIL 1947, 1940"
Arlington Sam Houston,Arlington ISD,4038,None,Arlington ISD intends to stick with six high schools over the next decade. It did not respond to DMN inquiries about future enrollment size.,,Richardson Hamilton Park PVIL 1961
Arlington Lamar,Arlington ISD,2703,None,Arlington ISD intends to stick with six high schools over the next decade. It did not respond to DMN inquiries about future enrollment size.,,"Booker T. Washington 1941, 1946, 1950, 1958"
Arlington Martin,Arlington ISD,3830,None,Arlington ISD intends to stick with six high schools over the next decade. It did not respond to DMN inquiries about future enrollment size.,,
Arlington Seguin,Arlington ISD,1676.5,None,Arlington ISD intends to stick with six high schools over the next decade. It did not respond to DMN inquiries about future enrollment size.,,
Aubrey,Aubrey ISD,840,None,"Aubrey ISD has discussed plans for a two or three-high school model but has yet to solidify. Expects 2,562 high school students in 2031-32.",,
Haltom City,Birdville ISD,2788,None,"Will remain with three high schools and it projects to have a similar number of high school students: about 7,000",,
Birdville,Birdville ISD,2035,None,"Will remain with three high schools and it projects to have a similar number of high school students: about 7,000",,
North Richland Hills,Birdville ISD,2086,None,"Will remain with three high schools and it projects to have a similar number of high school students: about 7,000",,
Burleson Centennial,Burleson ISD,2063,None,"Expects over 14,000 total students in Burleson ISD in 10 years, which represents a 21% increase from today.",,
Burleson,Burleson ISD,1737,None,"Expects over 14,000 total students in Burleson ISD in 10 years, which represents a 21% increase from today.",,
